fish_market,lat,lon
Benicarló,40.413258,0.431312216
Burriana,39.86417794,-0.071451195
Cartagena,37.59912993,-0.976249152
Cullera,39.16331516,-0.25583789
Denia,38.86083795,0.111272627
Gandía,38.9955003,-0.158004
Javea,38.79704802,0.184051712
Peñíscola,40.35791969,0.405914776
Sagunto,39.71560379,-0.287960015
San Pedro Grao Castellón,39.97066831,0.01252937
San Pedro del Pinatar,37.83611579,-0.790731794
Santa Pola,38.20800012,-0.554949442
Valencia,39.4563653,-0.326434831
Villajoyosa,38.50875524,-0.214924546
Vinaroz,40.47623569,0.470921731
